
id	lesson_id	title	description	order_index	created_at
1	1	Affirmative Sentences	Practice forming positive sentences with the correct verb form.	1	2026-05-28 14:24:11
2	1	Negative & Questions	Form negative sentences and yes/no questions.	2	2026-05-28 14:24:11
3	1	Mixed Practice	Combined exercises testing your overall understanding.	3	2026-05-28 14:24:11
4	2	Forming -ing Verbs	Practice the spelling rules for adding -ing to verbs.	1	2026-05-28 14:24:11
5	2	Affirmative & Negative	Use am/is/are correctly in positive and negative sentences.	2	2026-05-28 14:24:11
6	2	Questions & Context	Form questions and identify correct usage contexts.	3	2026-05-28 14:24:11
7	3	Regular Verbs Past Form	Practice -ed spelling rules for regular verbs.	1	2026-05-28 14:24:11
8	3	Irregular Verbs	Test your knowledge of common irregular past forms.	2	2026-05-28 14:24:11
9	3	Negative & Questions	Form negatives and questions using did.	3	2026-05-28 14:24:11
10	4	Using Will	Practice will for predictions, offers and promises.	1	2026-05-28 14:24:11
11	4	Will vs Going To	Choose the correct future form for each context.	2	2026-05-28 14:24:11
12	5	Forming First Conditionals	Build correct if + will sentences.	1	2026-05-15 13:28:09
13	5	Real Situations	Apply the first conditional to realistic scenarios.	2	2026-05-15 13:28:09
14	5	Mixed Conditional Practice	Exercises with various modals in the main clause.	3	2026-05-15 13:28:09
15	6	Hypothetical Situations	Form sentences about imaginary present/future situations.	1	2026-05-15 13:28:09
16	6	First vs Second Conditional	Choose between real and hypothetical conditionals.	2	2026-05-15 13:28:09
17	7	Present & Past Simple Passive	Form passive sentences in present and past simple.	1	2026-05-15 13:28:09
18	7	Active to Passive Transformation	Transform active sentences into the passive voice.	2	2026-05-15 13:28:09
19	7	Advanced Passive Forms	Passive with modals, perfect and continuous tenses.	3	2026-05-15 13:28:09
20	8	Who, Which, That	Choose the correct relative pronoun for people and things.	1	2026-05-15 13:28:09
21	8	Where, When, Whose	Practice relative adverbs and possession.	2	2026-05-15 13:28:09
22	8	Defining vs Non-defining	Identify and form both types of relative clause.	3	2026-05-15 13:28:09
23	13	Forming Present Perfect	Use have/has + past participle correctly.	1	2026-05-15 13:28:09
24	13	For, Since, Already, Yet, Just	Master the key signal words of the Present Perfect.	2	2026-05-15 13:28:09
25	13	Present Perfect vs Past Simple	Choose the correct tense for each context.	3	2026-05-15 13:28:09
26	14	A vs An	Choose the correct indefinite article based on sound.	1	2026-05-15 13:28:09
27	14	The or No Article	Decide when to use the definite article or no article.	2	2026-05-15 13:28:09
28	15	Reporting Statements	Change direct statements into reported speech.	1	2026-05-15 13:28:09
29	15	Reporting Questions	Change direct questions into reported questions.	2	2026-05-15 13:28:09
30	15	Say vs Tell & Tense Changes	Master tense backshift and the say/tell distinction.	3	2026-05-15 13:28:09
31	16	Comparatives	Form and use comparative adjectives.	1	2026-05-15 13:28:09
32	16	Superlatives	Form and use superlative adjectives.	2	2026-05-15 13:28:09
33	16	As...As & Mixed Practice	Use equal comparisons and choose the right form.	3	2026-05-15 13:28:09


